,0
58,linkin park miscellaneous maria belka ignore follow instinct blindly trust phoniness trust live loneliness hold stretch right move lose hurt blind love pre chorus think lose afraid touch expect know know tell chorus run run run tainted love take unreturned tear hell try love unreturned love love love
59,feel like night today here right today uptight today paranoias get leave not know stress pressure fed know feel like voice head like face hold inside face awake close eye face watch time lie face laugh time fall watch know time sink swim face inside hear right beneath skin like be paranoid lookin like whirlwind inside head like not stop be hearing like face inside right beneath skin know have get face point mistake have get face inside paranoias probably bad not know set know not stand everybody act like fact matter not add everybody face hold inside face awake close eye face watch time lie face laugh time fall watch know time sink swim face inside watch right inside skin like be paranoid lookin like whirlwind inside head like not stop be hearing like face inside right beneath skin face inside right beneath skin face inside right beneath skin face inside right beneath skin sun go feel light betray sun go feel light betray sun feel light betray sun feel light betray like be paranoid lookin like whirlwind inside head like not stop be hearing like face inside right beneath skin like be paranoid lookin like whirlwind inside head like not stop be hearing like not stop be hearing like not stop be hearing
60,linkin park reanimation plc mie haed chester wanna place hate not understand wanna energy right enemy place head mike watch moon sit sky dark night shine light sun sun not light moon assume moon go to owe make think act favor rapidly turn start ask thing want be sick tension sick hunger sick act like owe find place feed greed find place rest be sick tension sick hunger sick act like oweyou find place feed greed find place rest chester wanna place hate not understand wanna energy right enemy place head wanna wanna wanna wanna zion ya ya ya gimme chester wanna place hate not understand wanna energy right enemy place head try good away away away try good away try good away try good away try good away try good away try good away try good away try good away try good
61,december time year december clear december snow cover home december wish not feel like miss thing say feel like wish not feel like miss thing say away away come home december snow cover tree pretend need wish not feel like miss thing say feel like wish not feel like miss thing say away away come home december time year december clear x away away come home
62,linkin park miscellaneous morning catch war time chill bar seize amaze mind sleep sleep sleep not wake till morning x cut peace flower lick wound like dove light end tunnel let not wake till morning x oh be tired get end pain feel be awake alive alive alive alive dreamin catch war time chill bar light end tunnel let not wake till morning x oh be tired get end pain feel be awake alive alive alive alive dreamin
63,begin d lose nothingness inside confused d let find be person thing mind inside vacancy word reveal real thing have get leave feel loose stick hollow fault fault wanna heal wanna feel think real want let pain feel long erase pain till go wanna heal wanna feel like be close real want find have want belong have get not believe not fall right face confused look find way imagine mind negativity cause not justify way look loose gain hollow fault fault wanna heal wanna feel think real want let pain feel long erase pain til go wanna heal wanna feel like be close real want find have want belong know feel wound heal till break away break away ill find today wanna heal wanna feel think real want let pain feel long erase pain till go wanna heal wanna feel like be close real want find have want belong wanna heal wanna feel like be belong wanna heal wanna feel like be belong belong
64,linkin park miscellaneous forget demo stop core have forget middle thought take far safety be bright sky sun escape try x thread needle middle end sky cock shock not defend rain send drip acidic question forcefully power suggestion eye tightly shut look think rust rotten dust spot light flood floor pour world pretend eye ease open dark chorus bridge minute will find eye burn will forget lie pile move screaming up down pollution manifest perpetual sound wheel round sunset creep past street lamp car chainlink concrete wind open grow capture eye pry yellow light pass small black figure sit box inside box clock needle stop slanted pain lose know game inside change box stay shame shovel piece pain try hide world pretend paper crumble not perfect chorus bridge get get act well step be tell right x bridge x
65,forfeit game somebody take frame put shame cover face not run race pace fast will not love way look take pleasure awful thing away life pride break like think wrong live have learn act like live have learn want hurt like live have learn want share have live have learn love thing ill way ill hurt away life pride break like think wrong live have learn act like live have learn want hurt like live have learn want share have live have learn forfeit game somebody take frame put shame cover face not run race pace fast will not forfeit game somebody take frame put shame cover face not run race pace fast will not like think wrong live have learn act like live have learn want hurt like live have learn want share have live have learn like think wrong forfeit game live have learn act like forfeit game live have learn want hurt like forfeit game live have learn want share have live have learn
66,god save burn inside fire thousand sun sin hand sin tongue sin father sin young
67,not know listen anymore not explain feel anymore love anymore crawl head say anymore wrong not wrong not tell hear thing head listen thing hear thing think hear guess thing not anymore crawl head say anymore wrong not wrong not care car thing not anymore crawl head say anymore wrong not wrong not
68,graffiti decoration sky dust constant wave tension break trust lesson teach learn true find question point finger guilty association point finger wanna run away goodbye wanna know truth instead wonder wanna know answer lie wanna shut door open mind paper bag angry voice sky dust wave tension fill talk take action word true find question point finger guilty association point finger wanna run away goodbye wanna know truth instead wonder wanna know answer lie wanna shut door open mind be go to run away goodbye go to run away go to run away go to run away go to run away be go to run away wonder go to run away go to run away go to run away go to run away be go to run away open mind go to run away go to run away go to run away go to run away go to run away go to run away go to run away go to run away wanna run away goodbye wanna know truth instead wonder wanna know answer lie wanna shut door open mind wanna run away open mind wanna run away open mind wanna run away open mind wanna run away open mind
69,linkin park minute midnight wake taste start crush nail start dream fall stormy weather wake wake yeah maybe time wrong foot mouth blind sight dream fall stormy weather wake wake yeah x oh oh scared lose try hard scared lose x
70,tell hand beg stay lip love eye hate s truth lie doubt faith build lay waste s truth lie doubt faith have got not will not leave piece secret regret not lie promise sky toss like stone wrap arm chill bone s truth lie doubt faith have got not will not leave piece secret regret not lie will not leave piece secret regret not lie
71,have lie way smile ill fake sake fall apart people frown eventually break sacrifice hide lie end will soon find time leave watch unwind sacrifice know walk away play way testing push away walk away play way testing push away have try like want time ill blame sake fall apart people frown eventually break sacrifice hide lie end will soon find time leave watch unwind sacrifice know walk away play way testing push away walk away play way testing push away time learn unwind sacrifice hide lie time learn unwind sacrifice know walk away play way testing push away walk away play way testing push away push away
72,feel cut cruel world instinct tell run listen heart angel voice will sing will guide home life leave blind love keep kind keep kind have suffer spirit break grow desperate fight remember love melody bring right home life leave blind love keep kind life leave blind love keep kind oh oh oh oh oh oh oh oh
73,stop core have forget middle thought take far safety picture memory will not escape care stop core have forget middle thought take far safety picture memory will not escape care s place dark not end sky cock shock not defend rain send drip acidic question forcefully power suggestion eye shut look rust rot dust spot light flood floor pour rust world pretend eye ease open dark stop core have forget middle thought take far safety picture memory will not escape care memory will find eye burn darkness hold tightly sun rise move screaming up down pollution manifest perpetual sound wheel round sunset creep street lamp chainlink concrete little piece paper picture draw float street till wind go memory like picture paper crumple not perfect stop core have forget middle thought take far safety picture memory will not escape care stop core have forget middle thought take far safety picture memory will not escape care memory will find eye burn darkness hold tightly sun rise get catch act bring thought be tell right get catch act bring thought be tell right get catch act bring thought be tell right get catch act bring thought be tell right get catch act bring thought be tell right get catch act bring thought be tell right get catch act bring thought be tell right memory will find eye burn darkness hold tightly sun rise memory find eye burn darkness hold tightly sun rise
74,instrumental
75,folk special guest tonight d like introduce mr hahn let hear great mr hahn lesson rhythm management let begin alright not fun let try
76,time people try look inside wonder think protect courtesy time have hold need push away afraid mind afraid need thing say be think have upper hand mean get to put have standoff stand be wait upper hand minute watch drop make heart stop hit floor minute miss shot make heart stop think have win go people like trust lie concerned think feel inside people like walk eggshell day long know want feel like be step thing feel cross line go surely fall be count time cause have standoff stand be wait upper hand minute watch drop make heart stop hit floor minute miss shot make heart stop think have win go go go go go know ill trust single thing know lie divide lie lie get float go get fall minute watch drop make heart stop hit floor minute miss shot make heart stop think have win go go go go go
77,linkin park underground stuff dedication note be positive word be pretty sure right be sure right stanza try dream scene green hill cloud pull away sunlight reveal people not talk keepin real understand actually intoxicate stimulate mcs stare dream paranoid go breeze watch flee hiphop head walk will land sand crush wax sky krylon blue everybody speak dialect rhyme mcs leave materialism chorusmeanwhile grip mic home team alright not ignore end night cus dedicate kid dedicate music live dedicate tired old dedicate people advance game s realit kid know something wrong s realit kid think not belong s realit kid run hide shadow wait sun have see lot shit have talk bum sunset strip ask u feel act like not exist d lose grip probably eventually flip let know reason pick bang head mcs fight commonist d float head like pace odyssey monolith see game old thing go to change hurrican darkness pain acetic rain promise will not chorus pull close shadow warm inside feel home place hide pull close shadow warm inside feel home place hide chorus s real everybody not feel safe s real everbody know place s real everybody run hide shadow wait sun
78,come magnificent house worship tonight conscience leave choice true revolution value lay hand world order war way settle difference business burn human being napalm fill nation home orphan widow inject poisonous drug hate vein people normally humane send man home dark bloody battlefield physically handicapped psychologically derange reconcile wisdom justice love
79,linkin park miscellaneous mickey p kelli ali december time year december clear wish feel like miss wish feel like miss december snowcovere home december wish feel like miss thing say feel like wish feel like miss thing say away away come home december snowcovered tree december need wish feel like miss thing say feel like wish feel like miss thing say away away come home december time year december clear away away come home away away come home
80,linkin park miscellaneous encore numb artist linkin park jayz title encore numb album collision course genre hip hop intro linkin park jayz yeah thank thank thank far kind whoo aha uh whoo yeah ready whoo whoo whoo chorus jayz encore want cookin raw brooklyn boy time need -PRON- roar uh uh uh uh chester linkin park hell waitin forrrr jayz shall time noise -PRON- jay verse know fresh hov riddle rest -PRON- know be lyrically not -PRON- mirror yeah hearin rap like hearin g rap prime be young ho rap grateful dead globe break bread be boeing jets global express country blueberry connect low yacht get triple deck young expect yep yep grand openin grand closin god man hov crack open gon find doper pen draw inspiration soon gon not replace cheap imitation generation chorus jayz encore want cookin raw brooklyn boy time need -PRON- roar chester linkin park hell waitin forrrr jayz shall time noise chester linkin park hell waitin forrrr verse sigh look look know pay due pay come game try play drop couple hit look wave marcy madison square thing matter matter year yea fate jay status appear alltime high perfect time goodbye come like jordan wearin be not play game witchu aim probably maim owe be blowin smithereens cocksucker team need remember thing thing come see conquer record sale sell concert muh want encore need scream til lung sore verse tired want feel faithless lose surface not know expect pressure walk shoe catch undertoe catch undertoe step mistake catch undertoe catch undertoe second waste taaaakkee chorus have numb not feel tired aware be want like like have nuuuuummmbbb encore want have nuuuummmmbb time need -PRON- roar time need -PRON- roar
81,little bit loneliness little bit disregard handful complaint not help fact scar want want want feel like matter not convince believe real let watchin turn like face away pretend be ill cause have get not feel way not turn will not ignore time will not heal damage anymore not turn will not ignore little bit insecure little unconfident cause not understand not sense want have doubt like matter not convince hear let watchin turn like face away pretend be ill cause have get not feel way not turn will not ignore time will not heal damage anymore not turn will not ignore hear go to listen like right hear go to listen like right not feel way not turn will not ignore not feel way not turn will not ignore time will not heal damage anymore not turn will not ignore not feel will not ignore time will not heal not turn will not ignore
82,linkin park miscellaneous remix pts aut forfeit game stop talk try duck teach know forfeit game cause tomorrow reep love way look take pleasure awful thing away life pride break like think wrong live have learn act like live have learn want hurt like live have learn wanna share have live have learn love thing ill way ill hurt away life pride break like think wrong live have learn act like live have learn want hurt like live have learn wanna share have live have learn forfeit game stop talk try duck teach know forfeit game cause tomorrow reep forfeit game stop talk try duck teach know forfeit game cause tomorrow reep like think wrong live have learn act like live have learn want hurt like live have learn wanna share have live have learn
83,song call december december time year december clear december snow cover home december wish not feel like miss thing say feel like wish not feel like miss thing say d away away come home december snow cover tree pretend need wish not feel like miss thing say feel like wish not feel like miss thing say d away away come home december time year december clear away away come home
84,pretend want look exactly like want pretend not forget criminal steal second second cause know not pretend way will stay be try fend truth not pretend be want be lie way turn wanna push aside let turn let life d turning cause turn bad remember teach remember condescending talk ought remember listen pretend person fit think person be try fend truth push be pull away cause be lie way turn wanna push aside let turn let life d turning cause turn bad bad not want think say run like not want think say run like not want think say run like not want think say run like turn wanna push aside let turn let life d turning cause turn bad bad
85,come wake dream today cold static cold foot floor forget yesterday remember be pretend be anymore little taste hypocrisy be leave wake mistake slow react close distant not bring true way feel promise face sound voice paint memory be know keep inside know close eye know keep inside know close eye hit hit fall floor rest day stand fine line thing wrong pretend past not real be trap memory be leave wake mistake slow react close distant not bring true way feel promise face sound voice paint memory be know keep inside know close eye know keep inside know close eye will not let control fate be hold weight world conscience will not sit wait weighin option make fool not dare try not care n solemnly swear follow be not like beg knee oh oh baby s be thing be upset be angry know love love love pain ill will forgive be keep will not let end rope burn torture soul be puppet will not let matter far have come not wait tomorrow matter far have come not wait tomorrow know keep inside know close eye know keep inside know close eye
86,hybrid have diggin crate livin space rat race monkey human trait master numerology big band theology perform lobotomy telekinetic psychology invent mic start blessin chincheckin kid point like impressionist man try shake twist mic chord like double helix be buckle knee like leg brace cast spell instrumentalist mcs hate try leave shoulder cry infinity let icon bygone fire bomb ghostly note haunt try threat move promise stomp shit accomplice run guantlett want high voltage unforgettable sound high voltage bringin takin high voltage comin high voltage make rythm rhyme collide akira have kink backbone clone microphone satisfy rhyme jones spray bright day blood type krylon technicolor type highway write road rage cage winning cage tin bounce surround sound devour scene subliminal gangrene painting thing sing song karaoke copy bullshit break bone verbally stick stone tactic forth dimension compact convention write rhyme ease track stand attention mean away pencil pistol official sixteen line rhyme missile risk pick flaw spin rah blah blah blah see high voltage unforgettable sound high voltage bringin takin high voltage comin high voltage make rythm rhyme collide high voltage unforgettable sound high voltage bringin takin high voltage comin high voltage make rythm rhyme collide s man man hand land rove man bolde fellow s jammin plan ova vic clorousos ferocious spy eye extremely high voltage s need ruby cork glass cause glance chest blast masse subliminal transmit piano integrate flow calculate nano u skill mean plea see rhyme hear bleed proceed time walk wall inanimate obstacle educe reduction cell molecule bring knowledge swallow state s hologram bot head fat lip like collagen telepath verse postage fellow march mike shinoda high voltage high voltage unforgettable sound high voltage bringin takin high voltage comin high voltage make rythm rhyme collide high voltage unforgettable sound high voltage bringin takin high voltage comin high voltage make rythm rhyme collide incomprehensible
87,begin d lose nothingness inside confused let find be person thing mind inside vacancy word reveal real thing have get leave feel lose stick hollow fault fault wanna heal wanna feel think real wanna let pain have hold long erase pain til go wanna heal wanna feel like be close real wanna find have want belong have get not believe not fall right face confused look find way imagine mind negativity cause not justify way look lose gain hollow fault fault wanna heal wanna feel think real wanna let pain have hold long erase pain til go wanna heal wanna feel like be close real wanna find have want belong know feel wound heal til break away break away ill find today wanna heal wanna feel think real wanna let pain have hold long erase pain til go wanna heal wanna feel like be close real wanna find have want belong wanna heal wanna feel like be belong wanna heal wanna feel like be belong belong
88,crawl skin wound heal fear fall confuse real s inside pull beneath surface consume confuse lack self control fear end control not find wall close sense confidence be convince s pressure feel way insecure crawling skin wound heal fear fall confuse real discomfort endlessly pull distract react stand reflection haunting not find wall close sense confidence be convince s pressure feel way insecure crawling skin wound heal fear fall confuse real crawling skin wound heal fear fall confuse confusing real s inside pull beneath surface consume confusing real lack self control fear end control confuse real
89,start thing not know not matter hard try mind design rhyme explain time know time valuable thing watch fly pendulum swing watch count til end day clock tick life away unreal not look watch time right window tryin hold not know waste watch keep inside try fall apart mean eventually memory time try hard get far end not matter fall lose end not matter thing not know not matter hard try mind design rhyme remind try hard spite way mock act like property remember time fight be surprise get far thing not way not recognize anymore know come end keep inside try fall apart mean eventually memory time try hard get far end not matter fall lose end not matter trust push far s thing know trust push far s thing know try hard get far end not matter fall lose end not matter
90,crawl skin wound heal fear fall confuse real s inside pull beneath surface consume confuse lack self control fear end control not find wall close sense confidence be convince pressure have feel way insecure crawling skin wound heal fear fall confuse real discomfort endlessly pull distract react distracting stand reflection reflection haunting not haunt find wall close sense confidence be convince pressure have feel way insecure crawling skin wound heal fear fall confuse confusing real s inside pull beneath surface confuse confuse real lack self control fear end control control real
91,water gray window stair chill rain like ocean not want reach mean little thing away mistake levee break have want truly look foot water hope decays generation disappear wash away nation simply stare not want reach mean little thing away mistake levee break have want truly look foot water have want truly look foot underground little thing away little thing away little thing away little thing away little thing away have want truly look little thing away little thing away have want truly look little thing away little thing away have want truly look little thing away little thing away have want truly look little thing away little thing away have want truly look little thing away little thing away have want truly look little thing away
92,look eye s mistake stare have lie smile ill fake sake fall apart people frown eventually break end will soon find sake time leave watch unwind fall apart people frown eventually break sacrifice know stay push away matter blind have try like want time ill blame sake fall apart people frown eventually break sacrifice hide lie end will soon find time leave watch unwind sacrifice know stay push away matter blind reverse psychology fail miserably hard leave tell chance leave turn face look eye s mistake stare ask sacrifice hide lie sacrifice know stay push away matter blind stay push away matter blind
93,break anymore say say word sense have find bliss ignorance hear will find find answer not clear wish find way disappear thought sense have find bliss ignorance away like like like like like be break need little room breathe be break be break need little room breathe be break place feel tear body flesh peel ride cut like wait resist feel hate miss reason rip face blood pour pour pour pour shut be talk shut blood pour shut blood pour shut blood pour shut be talk shut blood pour shut blood pour shut blood pour shut be break be break need little room breathe be break be break need little room breathe be take step close edge be break need little room breathe cause be step close edge be break take step close edge be break need little room breathe cause be step close edge be
94,let apologize begin let apologize be try genuine hard get catch let apologize begin let apologize be try hard get catch pride promise lie truth get way thing want lose come thing s bad let apologize begin let apologize be try regain trust hard get catch pride promise lie truth get way thing want lose come thing s bad thing s bad explain plan fear afraid guilt language understand explain hope action speak word pride promise lie truth get way thing want lose come thing s bad pride promise lie truth get way thing want lose come thing s bad thing s bad thing s bad
95,crawl skin crawl skin sense confidence consume confuse crawl skin sense confidence be convince s pressure s inside pull beneath surface crawl skin wound heal fear fall confuse confusing real confusing real s inside pull beneath surface consume confuse lack self control fear end control not find wall close sense confidence be convince s pressure feel way insecure crawling skin wound heal fear fall confuse real discomfort endlessly pull distract react stand reflection haunting not find wall close sense confidence be convince s pressure feel way insecure sense confidence sense confidence sense confidence be convince s pressure sense confidence sense confidence sense confidence be convince s pressure find wall close sense confidence be convince s pressure feel way insecure crawling skin wound heal fear fall confuse real crawling skin wound heal fear fall confuse confusing real
96,linkin park miscellaneous plc mie haedfeat amp live zion zion want place hate understand want energy enemy place head watch moon sit sky dark night shine light sun sun light moon assume moon go owe make think act favour rapidly turn start ask thing want sick tension sick hunger sick act like owe find place feed greed find place rest sick tension sick hunger sick act like owe find place feed greed find place rest want place hate understand mean want energy enemy place head want place hate understand mean want energy enemy place head yo yo yo energon calm mom dram team pass baton flop bomb drop bomb john babylon flush sound carry dang lawn take dump like punk battle sick stress sick fesse sick act like owe find place feed face gon bump crunk sick stress sick fesse sick act like owe find place feed face gon bump crunk want place hate understand mean want energy enemy place head want place hate understand mean want energy enemy place head try good try good away try good try good away try good try good away try good away try good away try good away try good away try good away try good away try good away try good away away try good away try good away away
97,lady gent sorry -PRON- wait go everybody hate fake -PRON- fakin be cook plate stick face taste good not cousin know nothing buggin like codiene robutussin way approach time slap track turn choke rhyme broadcast nation like nbc page s like mpc deliver asswhipping mp give people reality mtv ppv snap neck pressure mess carry stretcher sue ooh law will not protect ya court room sketcher sketch ya follow get number like caller d try holler promise pain chop body three will sit stutter ppprobabably follow get style copy mind know wanna stop son here news fucker think be finish begin be grind put kid bed think hardboile fucker easter egg get pastel shell soft inside squash pride think fucking lose mind be play make bomb lie foundation be take bet farm rhyme sake mom s like mike pig kind bacon funny not laugh money cash villain vocab be kill notepad real write man not know half be bank tank run low gas be cut fun butter knife stop gun dance chance slim think be finish begin get razorblade tongue run dump clique fun machine shop get lock like game joke funny gang provoke well buckle fucker work year know people block start numb expect fresh new shit come go let -PRON- know fix frown railroad rap hot track run ask repeat like be go to tell -PRON- sound fix come like run bitch turn light low start ya right go cut fun butter knife stop gun dance chance slim think be finish begin follow get style copy mind know wanna stop son here news fucker think be finish begin
98,linkin park miscellaneous syndrome syndrome people turn people let anywhen real happen real knowhow feel knowhow feel tell know tell feel not matter look eye smile face happy happy knowhow feel knowhow feel yeah yeah yeah knowhow feel
99,linkin park miscellaneous xecutioner stylefeat black think shut shut shut shut talk shut shut shut shut br fun let try fortyfive calibre killer filler definitely go brother gorilla smooth talk fully automatic weapon concealer taste thriller break thriller let hit bounce filler filthy stinking stand solid ground sink submerge park link pluck beef start thinking mirage track yo garage duck hard dodge spine dawgs lie go flip straight rip apart squad xecutioner style cut blend like syringe hang limb come party hard bodyguard smoke stomp tim btothel c king come plan thought think man shut shut shut shut shut shut shut shut
100,skin skin look star look shine thing yeah yellow come write song call yellow take turn oh thing ve yellow skin oh yeah skin bone turn beautiful not know know love know love swam jump oh thing coz yellow draw line draw line oh thing love yellow yeah yeah yeah skin oh yeah skin bone turn beautiful know bleed dry bleed dry true look shine look shine look shine look shine look shine look shine look star look shine thing
101,place place line not change lose oh yeah lose lose cross line not cross lose oh yeah yeah long wait yeah long pay yeah long wait oh scared scare tired prepared ill wait leave ill wait yeah long wait yeah long pay yeah long wait oh singing ooh ooh come sing come sing come sing come sing place place line not change lose oh yeah oh yeah
102,light not save tide try swim bring knee oh beg beg plead singe come thing unsay shoot apple head trouble not name tiger wait tame singe confusion stop close wall tick clock go to come home stop know singe come sea curse miss opportunity cure disease singe compare compare compare home home want home home want home home want home home want
103,try good not succeed want need feel tired not sleep stick reverse tear come stream face lose not replace love go waste bad light guide home ignite bone try fix high love let try will know worth light guide home ignite bone try fix tear stream face lose replace tear stream face tear stream face promise learn mistake tear stream face light guide home ignite bone try fix
104,know have get to be way god style grace smile face draw line have get to waste time oh honey honey fall grace god smile face yeah work be bad yeah work want work draw line guess good know not way god give style give grace god smile face yeah work be bad yeah work want work draw line guess good good good good know not way god give style give grace god smile face
105,come meet tell be sorry not know lovely find tell need tell set apart tell secret ask question oh let start run circle come tail head science apart say easy shame say easy say hard oh start guess number figure pull puzzle apart question science science progress speak loud heart tell love come haunt oh rush start run circle chase tail come say easy oh shame say easy say hard be go start oh ooh ooh ooh ooh ooh ah ooh ooh ooh ooh ooh oh ooh ooh ooh ooh ooh oh ooh ooh ooh ooh ooh
106,honey rock stand come talk hope understand green eye yeah spotlight shine anybody deny come load feel light have meet honey know green eye honey sea float come talk think know green eye want find try deny mind cause come load feel light meet honey know green eye green eye oh oh oh oh oh oh oh oh oh oh oh oh honey rock stand
107,come oh star fade swerve control d wait d stick hole come oh star fade swerve control know wait hole time be push oh cause concern come oh star fade swerve reach know be dead surface be scream underneath time be push oh cause concern stick end ball chain be way stand edge tie noose sick stomach mean will not change thing be sick secret stand edge tie noose oh come cut loose oh come cut loose oh come cut loose
108,wanna big strong drive fast car second wanna drive fast car settle settle wanna big strong drive fast car touch button wanna drive fast car settle settle think wanna change attitude think wanna change attitude think wanna change ah atmosphere wanna strong wanna big strong drive fast car second wanna drive fast car settle settle think need change attitude think wanna change attitude think wanna change ah atmosphere wanna strong big well big well big well big well big strong drive fast car touch button wanna
109,long dark december rooftop remember snow white snow clearly remember window watch freeze future architecture carnival idiot d well lie low love will not let know long dark december bank cathedral fox god priest clutch bible hollow fit rifle cross hold aloft bury honor be dead hit ground love home unfold love will not let know not want soldier captain sink ship stow far love d let take love violet hill sit snow time silent love will not let know love will not let know
110,dead dead live head fall spell live oh time short be sure dead dead live head oh fall spell live oh time short be sure think ghost think ghost not heaven close not heaven close think ghost think ghost not heaven close not heaven oh oh oh oh dead dead live head oh
111,song love love lovely song go not heavy heart stone hard clearly not not be go to be go to not mean target be aim message home song love song love unknown be fire clearly not not be go to be go to not mean target be aim be get message home be go to stand wait go to leave late oh platform be go to stand be love come home song love love unknown have get message home
112,sit sit strawberry swing moment precious sit talk strawberry swing everybody fighting not wanna waste thing cold cold water bring round foot will not touch ground cold cold water perfect day perfect day remember walk pp strawberry swing not wait til morning not wanna change thing people move time inside perfect straight line not wanna curve away perfect day perfect day ah sky blue not mind waste time blue not mind waste time sky blue gray slide away sky blue not mind waste time
113,darle tired eye time dead night tell pretty baby night wind away ask sweetly sing honey sing
114,skin skin oh oh look star look shine thing yeah yellow come write song call yellow take turn oh thing yellow skin oh yeah skin bone turn beautiful not know know love know love swam jump oh thing cuz yellow draw line draw line oh thing love yellow yeah yeah yeah skin oh yeah skin bone turn beautiful know bleed dry bleed try true look shine look shine look shine look shine look shine look shine look star look shine thing
115,control wanna control wanna know future discover space travel page end day start way want somebody listen not matter surface try break decipher code need compass draw map be not line page end place look start way want somebody listen not matter not matter want somebody listen want somebody listen not matter not matter anybody lose hurt lonely bleed color come undone d run catapult fire wonder chance come stick square
116,hard let take hard strange thing wait bell ring strange start feel sweet taste mouth silver line cloud oh wish work hard let take break heart try sing not think hard feel leave sweet taste mouth silver line cloud oh oh wonder wonder know wrong come undone tear apart oh hard s hard yeah s hard s hard
117,warnin sign miss good realize start lookin bubble burst start lookin excuse come have get to tell state be have get to tell loud tone start lookin warnin sign truth miss yeah truth miss warnin sign come haunt realize island pass island discover come have get to tell state be have get to tell loud tone start lookin warnin sign yeah truth miss yeah truth miss be tire let crawl open arm yes crawl open arm crawl open arm yes crawl open arm
118,winter get carry away rooftop let marry summer hurry come patient not worry come patient not worry come patient not worry not worry try try try try not want battle begin end not want cycle recycle revenge not want follow death friend not want battle begin end not want cycle recycle revenge not want follow death friend end lie awake dream make escape end lie awake dream make escape
119,oh spider web tangle lose head thought stupid thing d say oh s spider web be catch middle turn run think stupid thing d mean cause trouble mean wrong cause trouble oh mean harm oh spider web middle twist turn be little bubble singing oh mean cause trouble mean wrong cause trouble oh mean harm spin web spin web spin web
120,light nothing wrong nothing right time reason rhyme decide not want not want life get wrong poem song right get wrong feel belong decide not want not want life ooh s right let breath jump ooh s right know not try ooh s right step big mistake bend break s risk decide not want life not want ooh s right let breath jump ooh s right know not try ooh s right ooh s right let breath jump ooh s right know darkness turn light ooh s right
121,start high hope back line back rope start alright night make fool daylight die frustration say lord lead temptation easy turn have go d d yes will anybodys guess god god know be try good be tired loneliness pick big toe hold rooftop let s screaming let window crawl ground d d yes will anybodys guess god god know will not let rest be tired loneliness have tired loneliness
122,instrumental
123,haze stormy haze ill round ill love ill time ill wait line
124,place place line not change lose oh yeah lose lose cross line not cross lose oh yeah yeah long wait yeah long pay yeah long wait oh scared scare tired prepared ill wait leave ill wait yeah yeah long wait yeah long pay yeah long wait oh yeah sing come sing come sing come sing come sing place place line not change lose oh yeah oh yeah
125,lose trust oh not break not answer cause bullet proof vest window close ill good ill soon telescope lens want friend ill soon come come snap heel come snapping heel not break hear not answer cause bullet proof vest window close ill good ill soon telescope lens want friend ill soon oh ooo lose trust oh lose trust not lose trust oh not lose trust
126,light not save tide try swim bring knee oh beg be beg singing come thing unsaid shoot apple head trouble not name tiger wait tame singing confusion stop close wall tick clock go come home stop know singe come sea curse miss opportunity cure disease singing compare oh compare compare home home want
127,sweet death conquer let know boy let know hear come will not let flee let boy let day death go to conquer ill water flow hope sweet heaven place let know boy let know sweet death conquer place hear come will not set free let boy let hear comin will not not want
128,world black white color light think will right wrong sky fall fall parting sea mean mean color want love look hard go to want live perfect symmetry world black white paint right meaning life try try want love look hard go to want live perfect symmetry not wanna come soon float big white balloon give silver spoon not wanna come throw arm moment soon cause feel low cause feel low oh yeah feel low oh oh oh cause feel low oh cause feel low oh feel low oh oh
129,be losing not mean be lose not mean ill stop not mean be be hurting not mean be hurt not mean not deserve well bad get lose river try cross door try lock oh be wait til shine wear big fish little pond not mean have win cause come big will lose river try cross gun hold go oh be wait til firing stop oh be wait til shine wear oh be wait til shine wear oh be wait til shine wear
130,come come band forever come home come home forever surely thing band cause love love love come home tell tie mast tear apart will soon forever go to tear apart love love love love love love love
131,drive away know will will oh sing know promise ill look s ill oh oh heart hold s know wrong will not let oh yeah yeah yeah yes oh cry oh yeah see spark yeah see spark see spark yeah see spark sing la la la la la oh la la la la la oh la la la la la oh la la la la la oh
132,sunlight open eye time will open tonight river run dry time river run hundred year future computer look life earth not fight wrong feel like feel will backwards will forwards will backwards will create drill invade somebody mess wrong ask belong belong will backwards will forwards will backwards will forwards will backwards will forwards will forwards will forwards
133,try hard speak fight weak hand drive distraction plan break try fix try repair be diving deep end good friend wanna love not know know break be try fix try repair ooh ooh ooh ooh float tidal wave drift outer space singing ooh ooh float tidal wave drift outer space float tidal wave drift outer space singing ooh ooh ooh ooh
134,awake find peace mind say live fugitive clear say know right way spy come water feelin bad cos know spy hide corner not touch cos spy spy awake free fugitive look way live sleep fear say way turn oh forget learn spy come water feelin bad cos know spy hide corner not touch cos spy spy not hide go to find not hide go to catch sleep not hide go to find spy come water feelin good cos know spy hide corner not touch cos spy spy spy spy spy
135,look direction pay attention know not listen cos straight not moment wake moment sleep ill try stop ill wait line care oh want change change good want know will way want not shiver shiver sing loud clear ill wait know need final chance get sing moment wake moment sleep ill try stop ill wait line care care oh want change change good want know will way want not shiver shiver sing loud clear ill wait ill wait yeah ill wait yeah ill wait not hear loud clear se loud clear ill wait look direction pay attention know need
